race_season,team_name,actual_wins,expected_wins,model_type,model_id,win_diff,performance_diff,over_under
2021,Hendrick Motorsports,17,13.255704459213662,gbm,gbm_20250312_0914,3.7442955407863376,3.7442955407863376,Over
2015,Joe Gibbs Racing,14,10.844865591322646,gbm,gbm_20250312_0914,3.1551344086773536,3.1551344086773536,Over
2014,Hendrick Motorsports,13,9.859989368118116,gbm,gbm_20250312_0914,3.140010631881884,3.140010631881884,Over
2014,Team Penske,11,8.421816440493496,gbm,gbm_20250312_0914,2.5781835595065044,2.5781835595065044,Over
2020,Stewart-Haas Racing,10,7.5116951332767865,gbm,gbm_20250312_0914,2.4883048667232135,2.4883048667232135,Over
2024,Team Penske,8,6.228894748363818,gbm,gbm_20250312_0914,1.7711052516361816,1.7711052516361816,Over
2015,Hendrick Motorsports,9,7.535727773921688,gbm,gbm_20250312_0914,1.4642722260783119,1.4642722260783119,Over
2017,RFK Racing,2,0.6893857595435924,gbm,gbm_20250312_0914,1.3106142404564076,1.3106142404564076,Over
2017,Richard Childress Racing,2,0.6923108618006479,gbm,gbm_20250312_0914,1.307689138199352,1.307689138199352,Over
2023,Hendrick Motorsports,10,8.69742426513699,gbm,gbm_20250312_0914,1.3025757348630105,1.3025757348630105,Over
2016,Hendrick Motorsports,5,3.916160845802915,gbm,gbm_20250312_0914,1.083839154197085,1.083839154197085,Over
2020,Hendrick Motorsports,7,5.959877995746709,gbm,gbm_20250312_0914,1.0401220042532913,1.0401220042532913,Over
2016,Front Row Motorsports,1,0.1230463406208063,gbm,gbm_20250312_0914,0.8769536593791937,0.8769536593791937,Over
2016,Team Penske,7,6.125264589227417,gbm,gbm_20250312_0914,0.8747354107725833,0.8747354107725833,Over
2019,Spire Motorsports,1,0.130591314249324,gbm,gbm_20250312_0914,0.869408685750676,0.869408685750676,Over
2014,Legacy Motor Club,1,0.14986632691985022,gbm,gbm_20250312_0914,0.8501336730801498,0.8501336730801498,Over
2023,RFK Racing,3,2.1505881022049658,gbm,gbm_20250312_0914,0.8494118977950342,0.8494118977950342,Over
2022,Stewart-Haas Racing,3,2.187073502220616,gbm,gbm_20250312_0914,0.812926497779384,0.812926497779384,Over
2024,Hendrick Motorsports,11,10.194313497069661,gbm,gbm_20250312_0914,0.8056865029303388,0.8056865029303388,Over
2014,RFK Racing,2,1.206516469029789,gbm,gbm_20250312_0914,0.7934835309702111,0.7934835309702111,Over
