race_season,expected_champion_team,expected_wins,actual_champion_team,match
2014,Hendrick Motorsports,8.524151,Stewart-Haas Racing,False
2015,Joe Gibbs Racing,11.185723,Joe Gibbs Racing,True
2016,Joe Gibbs Racing,10.484722,Hendrick Motorsports,False
2017,Joe Gibbs Racing,8.594436,Furniture Row Racing,False
2018,Stewart-Haas Racing,11.750376,Team Penske,False
2019,Joe Gibbs Racing,18.89876,Joe Gibbs Racing,True
2020,Joe Gibbs Racing,11.884149,Hendrick Motorsports,False
2021,Hendrick Motorsports,14.857216,Hendrick Motorsports,True
2022,Hendrick Motorsports,8.98156,Team Penske,False
2023,Joe Gibbs Racing,9.733113,Team Penske,False
2024,Hendrick Motorsports,11.045246,Team Penske,False
