race_season,expected_champion_team,expected_wins,actual_champion_team,match
2014,Hendrick Motorsports,10.917427,Stewart-Haas Racing,False
2015,Joe Gibbs Racing,11.707876,Joe Gibbs Racing,True
2016,Joe Gibbs Racing,11.448405,Hendrick Motorsports,False
2017,Joe Gibbs Racing,8.390324,Furniture Row Racing,False
2018,Stewart-Haas Racing,11.267748,Team Penske,False
2019,Joe Gibbs Racing,18.990156,Joe Gibbs Racing,True
2020,Joe Gibbs Racing,11.944124,Hendrick Motorsports,False
2021,Hendrick Motorsports,13.4680805,Hendrick Motorsports,True
2022,Hendrick Motorsports,10.298309,Team Penske,False
2023,Joe Gibbs Racing,9.433139,Team Penske,False
2024,Hendrick Motorsports,11.101845,Team Penske,False
