race_season,driver_fullname,actual_wins,expected_wins,model_type,model_id,win_diff,performance_diff,over_under
2021,Kyle Larson,10,5.922499334448169,gbm,gbm_20250312_1348,4.077500665551831,4.077500665551831,Over
2020,Kevin Harvick,9,5.830063222544275,gbm,gbm_20250312_1348,3.1699367774557254,3.1699367774557254,Over
2016,Jimmie Johnson,5,1.832861601611002,gbm,gbm_20250312_1348,3.167138398388998,3.167138398388998,Over
2014,Dale Earnhardt Jr,4,1.5331668990832148,gbm,gbm_20250312_1348,2.4668331009167854,2.4668331009167854,Over
2023,Chris Buescher,3,0.7053613334649732,gbm,gbm_20250312_1348,2.2946386665350267,2.2946386665350267,Over
2023,William Byron,6,3.9055620131961613,gbm,gbm_20250312_1348,2.0944379868038387,2.0944379868038387,Over
2021,Alex Bowman,4,2.176836071772582,gbm,gbm_20250312_1348,1.8231639282274181,1.8231639282274181,Over
2019,Kevin Harvick,4,2.2834057804437085,gbm,gbm_20250312_1348,1.7165942195562915,1.7165942195562915,Over
2017,Jimmie Johnson,3,1.293975037677412,gbm,gbm_20250312_1348,1.706024962322588,1.706024962322588,Over
2020,Brad Keselowski,4,2.3244368927321335,gbm,gbm_20250312_1348,1.6755631072678665,1.6755631072678665,Over
2015,Jimmie Johnson,5,3.4923277954801044,gbm,gbm_20250312_1348,1.5076722045198956,1.5076722045198956,Over
2016,Denny Hamlin,3,1.5704427584455447,gbm,gbm_20250312_1348,1.4295572415544553,1.4295572415544553,Over
2017,Ricky Stenhouse Jr,2,0.584497660486508,gbm,gbm_20250312_1348,1.415502339513492,1.415502339513492,Over
2015,Kyle Busch,5,3.660490600208497,gbm,gbm_20250312_1348,1.339509399791503,1.339509399791503,Over
2018,Chase Elliott,3,1.6767169823527848,gbm,gbm_20250312_1348,1.3232830176472152,1.3232830176472152,Over
2021,Ryan Blaney,3,1.6780149738591301,gbm,gbm_20250312_1348,1.3219850261408699,1.3219850261408699,Over
2023,Kyle Busch,3,1.7875638066609079,gbm,gbm_20250312_1348,1.2124361933390921,1.2124361933390921,Over
2015,Carl Edwards,2,0.8367668494889722,gbm,gbm_20250312_1348,1.1632331505110278,1.1632331505110278,Over
2024,Joey Logano,4,2.844694239882265,gbm,gbm_20250312_1348,1.1553057601177348,1.1553057601177348,Over
2014,Brad Keselowski,6,4.850256603952885,gbm,gbm_20250312_1348,1.149743396047115,1.149743396047115,Over
2022,Kevin Harvick,2,0.855552155813767,gbm,gbm_20250312_1348,1.144447844186233,1.144447844186233,Over
2014,Joey Logano,5,3.892113855128317,gbm,gbm_20250312_1348,1.1078861448716828,1.1078861448716828,Over
2024,William Byron,3,1.9191680450296549,gbm,gbm_20250312_1348,1.0808319549703451,1.0808319549703451,Over
2014,Carl Edwards,2,0.9634610085596084,gbm,gbm_20250312_1348,1.0365389914403917,1.0365389914403917,Over
2020,Denny Hamlin,7,6.0167031998493234,gbm,gbm_20250312_1348,0.9832968001506766,0.9832968001506766,Over
2016,Brad Keselowski,4,3.0336179124905027,gbm,gbm_20250312_1348,0.9663820875094973,0.9663820875094973,Over
2023,Ryan Blaney,3,2.0444440874976366,gbm,gbm_20250312_1348,0.9555559125023634,0.9555559125023634,Over
2019,Justin Haley,1,0.047607050743283356,gbm,gbm_20250312_1348,0.9523929492567167,0.9523929492567167,Over
2024,Austin Dillon,1,0.05069179885135345,gbm,gbm_20250312_1348,0.9493082011486466,0.9493082011486466,Over
2016,Chris Buescher,1,0.0821987590537076,gbm,gbm_20250312_1348,0.9178012409462923,0.9178012409462923,Over
2015,Matt Kenseth,5,4.090813378531265,gbm,gbm_20250312_1348,0.9091866214687352,0.9091866214687352,Over
2014,AJ Allmendinger,1,0.1129242171769691,gbm,gbm_20250312_1348,0.8870757828230309,0.8870757828230309,Over
2014,Aric Almirola,1,0.12754243423684908,gbm,gbm_20250312_1348,0.8724575657631509,0.8724575657631509,Over
2021,Michael McDowell,1,0.13589030918164316,gbm,gbm_20250312_1348,0.8641096908183569,0.8641096908183569,Over
2023,AJ Allmendinger,1,0.13608003653033673,gbm,gbm_20250312_1348,0.8639199634696633,0.8639199634696633,Over
2017,Austin Dillon,1,0.14548681315594844,gbm,gbm_20250312_1348,0.8545131868440515,0.8545131868440515,Over
2021,Aric Almirola,1,0.16479497664803433,gbm,gbm_20250312_1348,0.8352050233519657,0.8352050233519657,Over
