race_season,driver_id,driver_fullname,num_races,wins,top_5,top_10,finish_2_5,finish_6_10,lead_lap_finishes,total_laps_led,total_laps,avg_starting_position,avg_finishing_position,avg_diff_laps,avg_diff_time_sec,avg_diff_time_min,pct_laps_led,team_name,num_accidents,most_likely_dnf_cause
2014,2735,David Reutimann,6,0,3,3,0,0,6,1,2323,16.166666666666668,16.0,0.0,0.0,0.0,0.00043047783039173483,Front Row Motorsports,0,None
2014,2810,Clay Rogers,4,0,2,2,0,0,4,0,1515,17.75,21.5,0.0,0.0,0.0,0.0,Beard Motorsports,0,Overheating
2014,2883,Boris Said,2,0,0,0,0,0,2,0,200,37.5,30.0,0.0,0.0,0.0,0.0,GO FAS Racing,0,None
2014,2911,Johnny Sauter,1,0,0,0,0,0,1,0,160,43.0,43.0,0.0,0.0,0.0,0.0,Nature Farms Racing,0,Electrical
2014,3002,Morgan Shepherd,3,0,1,1,0,0,3,0,817,28.333333333333332,27.333333333333332,0.0,0.0,0.0,0.0,Circle Sport Racing,0,Brakes
2014,3094,Regan Smith,1,0,0,0,0,0,1,0,90,13.0,37.0,0.0,0.0,0.0,0.0,Stewart-Haas Racing,1,Accident
2014,3120,Reed Sorenson,36,0,0,0,0,0,36,7,10541,35.27777777777778,29.77777777777778,0.0,0.0,0.0,0.0006640736173038611,Tommy Baldwin Racing,2,Accident
2014,3193,Tony Stewart,33,0,3,7,3,4,33,125,9751,16.484848484848484,19.96969696969697,0.0,0.0,0.0,0.012819198030971183,Stewart-Haas Racing,4,Accident
2014,3221,David Stremme,12,0,2,2,0,0,12,0,4244,31.0,30.416666666666668,0.0,0.0,0.0,0.0,Circle Sport Racing,0,Brakes
2014,3368,Martin Truex Jr,36,0,1,5,1,4,36,1,10541,20.055555555555557,20.22222222222222,0.0,0.0,0.0,9.48676596148373e-05,Furniture Row Racing,2,Accident
2014,3425,Brian Vickers,36,0,3,9,3,6,36,53,10541,14.11111111111111,18.555555555555557,0.0,0.0,0.0,0.005027985959586377,Michael Waltrip Racing,1,Engine
2014,3458,Mike Wallace,6,0,0,0,0,0,6,0,1976,39.166666666666664,34.666666666666664,0.0,0.0,0.0,0.0,Identity Ventures Racing,0,None
2014,3478,Michael Waltrip,4,0,0,0,0,0,4,4,694,36.25,25.25,0.0,0.0,0.0,0.005763688760806916,Identity Ventures Racing,1,Accident
2014,3669,JJ Yeley,22,0,4,4,0,0,22,0,6782,30.772727272727273,29.59090909090909,0.0,0.0,0.0,0.0,Xxxtreme Motorsports,2,Engine
2014,3773,Juan Pablo Montoya,2,0,0,0,0,0,2,0,360,18.0,20.5,0.0,0.0,0.0,0.0,Team Penske,0,None
2014,3774,AJ Allmendinger,36,1,2,5,1,3,36,68,10541,19.666666666666668,20.166666666666668,0.0,0.0,0.0,0.006451000853808937,JTG Daugherty Racing,3,Accident
2014,3776,Sam Hornish Jr,1,0,0,0,0,0,1,0,206,13.0,17.0,0.0,0.0,0.0,0.0,Joe Gibbs Racing,0,None
2014,3797,Josh Wise,36,0,1,1,0,0,36,0,10541,33.0,31.52777777777778,0.0,0.0,0.0,0.0,Premium Motorsports,2,Accident
2014,3808,Landon Cassill,36,0,3,3,1,0,36,12,10541,32.916666666666664,27.22222222222222,0.0,0.0,0.0,0.0011384119153780476,Hillman Racing,3,Accident
2014,3822,Brian Scott,6,0,0,0,0,0,6,0,1573,21.833333333333332,32.333333333333336,0.0,0.0,0.0,0.0,Circle Sport Racing,1,Accident
2014,3832,Michael McDowell,22,0,3,4,0,1,22,1,6399,23.772727272727273,26.454545454545453,0.0,0.0,0.0,0.0001562744178777934,Leavine Family Racing,3,Accident
2014,3859,Joey Logano,36,5,16,22,11,6,36,993,10541,9.805555555555555,11.333333333333334,0.0,0.0,0.0,0.09420358599753344,Team Penske,2,Accident
2014,3861,Michael Annett,36,0,0,0,0,0,36,5,10541,33.666666666666664,29.36111111111111,0.0,0.0,0.0,0.0004743382980741865,Premium Motorsports,4,Accident
2014,3873,Austin Dillon,36,0,1,4,1,3,36,10,10541,19.916666666666668,17.5,0.0,0.0,0.0,0.000948676596148373,Richard Childress Racing,0,None
2014,3883,Trevor Bayne,13,0,1,1,0,0,13,8,3203,19.615384615384617,29.76923076923077,0.0,0.0,0.0,0.002497658445207618,Wood Brothers Racing,5,Accident
2014,3888,Ricky Stenhouse Jr,36,0,2,6,1,4,36,0,10541,21.11111111111111,21.75,0.0,0.0,0.0,0.0,RFK Racing,2,Accident
2014,3914,Parker Kligerman,8,0,0,0,0,0,8,0,2702,37.125,37.25,0.0,0.0,0.0,0.0,Swan Racing,2,Accident
2014,3917,Blake Koch,6,0,1,1,0,0,6,1,1980,34.333333333333336,29.833333333333332,0.0,0.0,0.0,0.000505050505050505,GO FAS Racing,1,Accident
2014,3928,Eddie MacDonald,1,0,0,0,0,0,1,0,305,40.0,35.0,0.0,0.0,0.0,0.0,GO FAS Racing,0,None
2014,3929,Danica Patrick,36,0,0,3,0,3,36,15,10541,22.27777777777778,23.666666666666668,0.0,0.0,0.0,0.0014230148942225595,Stewart-Haas Racing,2,Accident
2014,3930,Nelson Piquet Jr,1,0,0,0,0,0,1,0,90,32.0,26.0,0.0,0.0,0.0,0.0,Randy Humphrey Racing,0,None
2014,3948,Alex Kennedy,5,0,0,0,0,0,5,0,720,39.8,34.6,0.0,0.0,0.0,0.0,Circle Sport Racing,1,Rear Gear
2014,3952,Ryan Truex,26,0,3,3,0,0,26,0,7423,31.26923076923077,31.5,0.0,0.0,0.0,0.0,BK Racing,4,Accident
2014,3963,Tomy Drissi,1,0,0,0,0,0,1,0,110,43.0,38.0,0.0,0.0,0.0,0.0,Identity Ventures Racing,0,None
2014,3979,Cole Whitt,36,0,0,0,0,0,36,1,10541,33.361111111111114,29.25,0.0,0.0,0.0,9.48676596148373e-05,BK Racing,4,Accident
2014,3984,Timmy Hill,11,0,0,0,0,0,11,0,3647,41.45454545454545,38.36363636363637,0.0,0.0,0.0,0.0,Circle Sport Racing,1,Accident
